form	lemma	POS	morph
Bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
fera	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
cortoisie	cortoisie	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_04_025]	Ref.	OUT	MORPH=empty
S'	se	CONsub	MORPH=empty
aucune	aucun	DETind	NOMB.=s|GENRE=f|CAS=n
pitiés	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=n
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
em	en2	PROadv	MORPH=empty
prent	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_04_026]	Ref.	OUT	MORPH=empty
Au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
descovrir	descovrir	NOMcom	NOMB.=x|GENRE=x|CAS=x
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
talent	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r
[REF:CononBethune_01_04_027]	Ref.	OUT	MORPH=empty
Se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
gart	garder	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
de	de	PRE	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
escondire	escondire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_04_028]	Ref.	OUT	MORPH=empty
S'	se	CONsub	MORPH=empty
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
velt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ochirre	ocire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_05_029]	Ref.	OUT	MORPH=empty
Fols	fol3	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dite	dire	VERppe	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_05_030]	Ref.	OUT	MORPH=empty
Ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
dolor	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
ki	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
grans	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_05_031]	Ref.	OUT	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
deüst	devoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
[REF:CononBethune_01_05_032]	Ref.	OUT	MORPH=empty
Par	par	PRE	MORPH=empty
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
tant	tant	ADVgen	DEGRE=-
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fins	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amans	amant	NOMcom	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	MORPH=empty
[REF:CononBethune_01_05_033]	Ref.	OUT	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
si	si	ADVgen	DEGRE=-
meschaans	meschëant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
[REF:CononBethune_01_05_034]	Ref.	OUT	MORPH=empty
Ke	que4	CONsub	MORPH=empty
quanques	cantque	PROrel	NOMB.=s|GENRE=n|CAS=r
drois	droit	NOMcom	NOMB.=s|GENRE=m|CAS=n
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
i	i2	PROadv	MORPH=empty
avance	avancier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
[REF:CononBethune_01_05_035]	Ref.	OUT	MORPH=empty
Me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
retaut	retolir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
mescheance	meschëance	NOMcom	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_06_036]	Ref.	OUT	MORPH=empty
Tous	tot	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
morrai	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
en	en1	PRE	MORPH=empty
soffrance	sofrance	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_06_037]	Ref.	OUT	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
beautés	biauté	NOMcom	NOMB.=s|GENRE=f|CAS=n
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
garans	garant	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_06_038]	Ref.	OUT	MORPH=empty
De	de	PRE	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
samblance	semblance	NOMcom	NOMB.=s|GENRE=f|CAS=n
[REF:CononBethune_01_06_039]	Ref.	OUT	MORPH=empty
Ki	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
tos	tot	DETind	NOMB.=p|GENRE=m|CAS=r
mes	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=r
maus	mal1	NOMcom	NOMB.=p|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plaisans	plaisant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_06_040]	Ref.	OUT	MORPH=empty
Si	si	ADVgen	DEGRE=-
ke	que4	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
muir	morir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
tous	tot	ADVgen	DEGRE=-
joians	joiant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
[REF:CononBethune_01_06_041]	Ref.	OUT	MORPH=empty
Ke	que4	CONcoo	MORPH=empty
tant	tant	ADVgen	DEGRE=-
desir	desirrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
merite	merite	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_06_042]	Ref.	OUT	MORPH=empty
Ke	que4	CONsub	MORPH=empty
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=n
mors	mort	NOMcom	NOMB.=s|GENRE=f|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
delite	delitier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_07_043]	Ref.	OUT	MORPH=empty
Noblet	Noblet	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fins	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amans	amant	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_07_044]	Ref.	OUT	MORPH=empty
Si	si	ADVgen	DEGRE=-
aim	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
millor	meillor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c
eslite	eslire	VERppe	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_07_045]	Ref.	OUT	MORPH=empty
Dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
onques	onque	ADVgen	DEGRE=-
cançons	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
dite	dire	VERppe	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
[REF:CononBethune_02_01_001]	Ref.	OUT	MORPH=empty
Si	si	ADVgen	DEGRE=-
voiremant	voirement	ADVgen	DEGRE=p
con	come1	CONsub	MORPH=empty
cele	cel	PROdem	NOMB.=s|GENRE=f|CAS=n
don	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
chant	chanter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
[REF:CononBethune_02_01_002]	Ref.	OUT	MORPH=empty
Valt	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
melz	mieus	ADVgen	DEGRE=c
que	que1	CONsub	MORPH=empty
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=n
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
bones	bon	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_01_003]	Ref.	OUT	MORPH=empty
Et	et	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
aim	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
plus	plus	ADVgen	DEGRE=c
que	que1	CONsub	MORPH=empty
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
el	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
mont	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_01_004]	Ref.	OUT	MORPH=empty
Si	si	ADVgen	DEGRE=-
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
doint	doner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Deus	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
senz	sens	PRE	MORPH=empty
decevoir	decevoir	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
[REF:CononBethune_02_01_005]	Ref.	OUT	MORPH=empty
Que	que4	CONcoo	MORPH=empty
tel	tel	PROind	NOMB.=s|GENRE=m|CAS=r
desir	desir	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
et	et	CONcoo	MORPH=empty
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=r
voloir	voloir	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_01_006]	Ref.	OUT	MORPH=empty
Ou	o3	CONcoo	MORPH=empty
tant	tant	ADVgen	DEGRE=-
ou	o3	CONcoo	MORPH=empty
plus	plus	ADVgen	DEGRE=c
,	,	PONfbl	MORPH=empty
Deus	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
seit	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
verté	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_01_007]	Ref.	OUT	MORPH=empty
Si	si	ADVgen	DEGRE=-
con	come1	CONsub	MORPH=empty
malades	malade	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
desirre	desirrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
santé	santé	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_01_008]	Ref.	OUT	MORPH=empty
Desir	desirrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	a3	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
[REF:CononBethune_02_02_009]	Ref.	OUT	MORPH=empty
Or	or4	ADVgen	DEGRE=-
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
que	que4	CONsub	MORPH=empty
riens	rien	PROind	NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
valoir	valoir	VERinf	MORPH=empty
[REF:CononBethune_02_02_010]	Ref.	OUT	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
con	come1	CONsub	MORPH=empty
celi	cel	PROdem	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
cui	qui	PROrel	NOMB.=s|GENRE=f|CAS=r
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
tant	tant	ADVgen	DEGRE=-
chanté	chanter	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_02_02_011]	Ref.	OUT	MORPH=empty
C'	que4	CONcoo	MORPH=empty
or	or4	ADVgen	DEGRE=-
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
veü	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
bealté	biauté	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_02_02_012]	Ref.	OUT	MORPH=empty
Et	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
que	que4	CONsub	MORPH=empty
tant	tant	ADVgen	DEGRE=-
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
valor	valor	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_02_02_013]	Ref.	OUT	MORPH=empty
Que	que4	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
faire	faire	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
outrage	outrage	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
folor	folor	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_02_02_014]	Ref.	OUT	MORPH=empty
D'	de	PRE	MORPH=empty
amer	amer1	VERinf	MORPH=empty
plus	plus	ADVgen	DEGRE=c
halt	haut	ADVgen	DEGRE=p
que	que1	CONsub	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
avroit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
[REF:CononBethune_02_02_015]	Ref.	OUT	MORPH=empty
Et	et	CONcoo	MORPH=empty
non	non	ADVneg	MORPH=empty
por	por2	PRE	MORPH=empty
cant	cant2	PROind	NOMB.=s|GENRE=m|CAS=r
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
povre	povre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
[REF:CononBethune_02_02_016]	Ref.	OUT	MORPH=empty
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
